"","TimeStampEpoch","Symbol","OrderPrice"
"127",1673015280197035008,"TBHHD",130.33
"128",1673015280197057280,"GIJQX",65.4
"129",1673015280197068544,"Z5HII",48.72
"130",1673015280197119744,"Z5HII",243.58
"131",1673015280198280960,"1NTNT",14.46
"132",1673015280198300416,"1NTNT",14.46
"133",1673015280198349056,"1NTNT",14.46
"134",1673015280198611456,"1NTNT",14.45
"135",1673015280198699008,"1NTNT",14.45
"136",1673015280198709248,"1NTNT",14.45
"137",1673015280229464064,"D30SM",103.8
"138",1673015280240721920,"D30SM",99.2
"139",1673015280247362560,"TBHHD",130.37
"140",1673015280247727616,"NQGAH",73.24
"141",1673015280248100352,"Z5HII",48.73
"142",1673015280248116224,"Z5HII",243.62
"143",1673015280248475648,"Z5HII",243.58
"144",1673015280248527616,"Z5HII",48.72
"145",1673015280248570368,"1NTNT",14.46
"146",1673015280248648704,"1NTNT",14.46
"147",1673015280248655360,"GIJQX",65.42
"148",1673015280248683520,"1NTNT",14.46
"149",1673015280262992384,"OA14Y",61.59
"150",1673015280263554816,"NQGAH",76.76
"151",1673015280268859136,"NQGAH",76.78
"152",1673015280274522112,"1H2XW",133.58
"153",1673015280274598656,"1H2XW",133.54
"154",1673015280277953280,"3PM7N",61.61
"155",1673015280277975040,"XKOBH",100.32
"156",1673015280278009856,"N06BZ",108.47
"157",1673015280297075456,"D30SM",99.24
"158",1673015280298281984,"NQGAH",73.27
"159",1673015280331246080,"NQGAH",76.76
"160",1673015280353379840,"XKOBH",99.99
"161",1673015280353413120,"N06BZ",108.15
"162",1673015280359576320,"JU3VN",27.36
"163",1673015280359832320,"P29R0",29.93
"164",1673015280360289792,"JU3VN",31.23
"165",1673015280360293376,"QGY3D",36.48
"166",1673015280361189888,"P29R0",29.91
"167",1673015280404015616,"XKOBH",100.01
"168",1673015280432512256,"N06BZ",108.16
"169",1673015280432525824,"NQGAH",76.78
"170",1673015280462843136,"QGY3D",36.54
"171",1673015280462944000,"JU3VN",27.37
"172",1673015280463137792,"P29R0",29.93
"173",1673015280470598144,"J7U99",1.56
"174",1673015280470629376,"5O7XM",1.53
"175",1673015280470635520,"J7U99",1.57
"176",1673015280470652160,"5O7XM",1.53
"177",1673015280552287744,"OA14Y",61.56
"178",1673015280552291584,"DG1L5",9.77
"179",1673015280587069440,"1NTNT",14.45
"180",1673015280587097856,"1NTNT",14.45
"181",1673015280587120384,"1NTNT",14.45
"182",1673015280606077184,"1H2XW",133.58
"183",1673015280608556800,"NQGAH",76.76
"184",1673015280610822144,"J7U99",1.56
"185",1673015280610847744,"5O7XM",1.53
"186",1673015280611250688,"5O7XM",1.52
"187",1673015280613736704,"NQGAH",76.78
"188",1673015280663196672,"1H2XW",133.54
"189",1673015280701894656,"5O7XM",1.45
"190",1673015280701898240,"J7U99",1.48
"191",1673015280701915136,"5O7XM",1.45
"192",1673015280701919744,"J7U99",1.49
"193",1673015280711248640,"OOOTO",69.37
"194",1673015280713784832,"1H2XW",133.58
"195",1673015280832048896,"OOOTO",69.39
"196",1673015280854846720,"N06BZ",108.15
"197",1673015280857753856,"1H2XW",133.54
"198",1673015280861994240,"NQGAH",76.76
"199",1673015280869146624,"J7U99",1.49
"200",1673015280869215232,"J7U99",1.48
"201",1673015280869716736,"NQGAH",76.78
"202",1673015280869923328,"5O7XM",1.45
"203",1673015280869976576,"5O7XM",1.46
"204",1673015280880486656,"OOOTO",69.37
"205",1673015280915311616,"N06BZ",108.16
"206",1673015280927654912,"N06BZ",108.15
"207",1673015280932931072,"OOOTO",69.39
"208",1673015280933260544,"OOOTO",69.37
"209",1673015280977656576,"N06BZ",108.16
"210",1673015280978405888,"JU3VN",27.36
"211",1673015280980687872,"XKOBH",100.31
"212",1673015280980718080,"N06BZ",108.15
"213",1673015280980769792,"N06BZ",108.46
"214",1673015280980828416,"XKOBH",99.99
"215",1673015280980938240,"P29R0",30.01
"216",1673015280980950784,"JU3VN",27.49
"217",1673015280981224448,"N06BZ",108.47
"218",1673015280981277440,"XKOBH",100.32
"219",1673015281013092352,"NQGAH",73.24
"220",1673015281013225472,"D30SM",99.2
"221",1673015281013240064,"NQGAH",73.22
"222",1673015281013245440,"D30SM",99.17
"223",1673015281013250816,"1H2XW",135.57
"224",1673015281013284352,"D30SM",103.83
"225",1673015281013328640,"OOOTO",71.93
"226",1673015281013361920,"Z5HII",246.79
"227",1673015281013389056,"Z5HII",49.39
"228",1673015281064652288,"JU3VN",27.5
"229",1673015281065061888,"XKOBH",100.31
"230",1673015281065096960,"N06BZ",108.46
"231",1673015281070329344,"D30SM",99.2
"232",1673015281081522688,"1NTNT",14.46
"233",1673015281081590784,"1NTNT",14.46
"234",1673015281081617920,"1NTNT",14.46
"235",1673015281087297280,"1NTNT",14.45
"236",1673015281087388160,"1NTNT",14.45
"237",1673015281087398144,"1NTNT",14.45
"238",1673015281091243520,"XKOBH",100.32
"239",1673015281091552000,"N06BZ",108.47
"240",1673015281105655296,"OOOTO",71.9
"241",1673015281105713664,"OOOTO",71.93
"242",1673015281106458112,"GIJQX",65.4
"243",1673015281106744832,"D30SM",103.85
"244",1673015281106749184,"NQGAH",76.8
"245",1673015281106776064,"OA14Y",63.9
"246",1673015281132325120,"DG1L5",9.81
"247",1673015281132349440,"OOOTO",69.39
"248",1673015281137564416,"1NTNT",14.46
"249",1673015281137577216,"1NTNT",14.46
"250",1673015281137637120,"1NTNT",14.46
"251",1673015281141904384,"1H2XW",135.53
"252",1673015281143917056,"XKOBH",100.31
"253",1673015281144063488,"N06BZ",108.46
"254",1673015281149327360,"1H2XW",135.57
"255",1673015281151878144,"NQGAH",76.85
"256",1673015281151887616,"D30SM",103.9
"257",1673015281151927808,"D30SM",99.17
"258",1673015281151930880,"OOOTO",69.37
"259",1673015281171008256,"GIJQX",65.42
"260",1673015281181968384,"J2ZVG",117.72
"261",1673015281185433344,"JU3VN",27.49
"262",1673015281189117440,"XKOBH",100.32
"263",1673015281189122816,"N06BZ",108.47
"264",1673015281203496960,"1H2XW",135.53
"265",1673015281207910912,"D30SM",103.93
"266",1673015281212618496,"XKOBH",100.01
"267",1673015281212986368,"SXUH7",62.15
"268",1.673015281213e+18,"MSBQE",45.76
"269",1673015281213019136,"R6NO3",54.93
"270",1673015281213032448,"SXUH7",61.54
"271",1673015281213102080,"R6NO3",54.32
"272",1673015281219437824,"XKOBH",99.99
"273",1673015281222978048,"Z5HII",243.62
"274",1.673015281223e+18,"D30SM",99.24
"275",1673015281223005440,"NQGAH",73.27
"276",1673015281223015424,"Z5HII",48.73
"277",1673015281223016448,"OOOTO",69.39
"278",1673015281223024640,"OA14Y",61.59
"279",1673015281228107264,"OOOTO",69.37
"280",1673015281228113920,"OA14Y",61.56
"281",1673015281228122112,"NQGAH",73.22
"282",1673015281228139520,"D30SM",99.17
"283",1673015281243054080,"Z5HII",243.58
"284",1673015281243083520,"Z5HII",48.72
"285",1673015281248971520,"NQGAH",73.2
"286",1673015281248975616,"D30SM",99.15
"287",1673015281289799680,"XKOBH",100.31
"288",1673015281289806336,"N06BZ",108.46
"289",1673015281303849984,"1H2XW",135.57
"290",1673015281305395456,"OA14Y",61.54
"291",1673015281305402880,"OOOTO",69.34
"292",1.67301528131e+18,"N06BZ",108.47
"293",1.67301528131e+18,"XKOBH",100.32
"294",1673015281310043136,"XKOBH",100.01
"295",1673015281319036416,"XKOBH",99.99
"296",1673015281416441856,"1H2XW",135.53
"297",1673015281464979456,"RKG2T",13.8
"298",1673015281515333120,"N06BZ",108.46
"299",1673015281515343616,"XKOBH",100.31
"300",1673015281530151424,"RKG2T",13.89
"301",1673015281547292160,"Z5HII",48.73
"302",1673015281547301888,"Z5HII",243.62
"303",1673015281548963840,"DG1L5",9.8
"304",1673015281556802048,"Z5HII",48.72
"305",1673015281556812800,"Z5HII",243.58
"306",1673015281588785152,"OOOTO",69.37
"307",1673015281654348544,"Z5HII",246.75
"308",1673015281654452480,"Z5HII",49.38
"309",1673015281659912960,"J2ZVG",117.72
"310",1673015281691622144,"OA14Y",61.56
"311",1673015281698350336,"DG1L5",9.8
"312",1673015281735103488,"OOOTO",71.95
"313",1673015281735109632,"OA14Y",63.93
"314",1673015281764705280,"MSBQE",45.73
"315",1673015281764712448,"R6NO3",54.27
"316",1673015281764725248,"SXUH7",61.49
"317",1673015281764739840,"R6NO3",54.9
"318",1673015281764751616,"MSBQE",46.34
"319",1673015281772800256,"SXUH7",62.12
"320",1673015281786483456,"OA14Y",63.9
"321",1673015281787877888,"OA14Y",61.54
"322",1673015281787890944,"OOOTO",69.34
"323",1.673015281813e+18,"OOOTO",71.93
"324",1673015281819045120,"J7U99",1.57
"325",1673015281819068416,"J7U99",1.57
"326",1673015281819072000,"5O7XM",1.53
"327",1673015281819082240,"5O7XM",1.53
"328",1673015281822548992,"SXUH7",61.54
"329",1673015281822716160,"R6NO3",54.32
"330",1673015281832831488,"MSBQE",45.78
"331",1673015281872049920,"J7U99",1.56
"332",1673015281872168704,"J7U99",1.57
"333",1673015281873214976,"5O7XM",1.53
"334",1673015281873277184,"5O7XM",1.52
"335",1673015281986135040,"DG1L5",9.8
"336",1673015281986415360,"N06BZ",108.14
"337",1673015281986445312,"3PM7N",61.31
"338",1673015281986557952,"QGY3D",36.54
"339",1673015281986728960,"P29R0",29.93
"340",1673015281988148224,"RKG2T",13.99
"341",1673015281988202496,"D30SM",103.9
"342",1673015281988209152,"NQGAH",73.22
"343",1673015281988226048,"D30SM",99.17
"344",1673015281988260352,"OOOTO",69.37
"345",1673015281988328448,"OA14Y",61.56
"346",1673015281989536768,"DG1L5",9.79
"347",1673015282090419456,"3PM7N",61.59
"348",1673015282090566656,"N06BZ",108.44
"349",1673015282090578944,"OOOTO",69.34
"350",1673015282090592000,"P29R0",30.01
"351",1673015282090611712,"OA14Y",61.54
"352",1673015282090670592,"N06BZ",108.12
"353",1673015282090703616,"QGY3D",52.4
"354",1673015282090783744,"XKOBH",100.29
"355",1673015282090868480,"P29R0",29.93
"356",1673015282090961664,"XKOBH",99.98
"357",1673015282194928128,"P29R0",29.93
"358",1673015282194955520,"KIVN0",105.61
"359",1673015282194987008,"XKOBH",100.28
"360",1673015282196326912,"D30SM",103.93
"361",1673015282196779264,"DG1L5",9.8
"362",1673015282196783104,"DFSR3",30.15
"363",1673015282199293184,"NQGAH",76.83
"364",1673015282204283392,"NQGAH",76.85
"365",1673015282211136512,"OOOTO",71.95
"366",1673015282213392896,"N06BZ",108.14
"367",1673015282215805952,"OOOTO",69.37
"368",1673015282215815680,"OA14Y",61.56
"369",1673015282215866880,"D30SM",99.24
"370",1673015282215874048,"NQGAH",73.27
"371",1673015282220851200,"NQGAH",73.22
"372",1673015282220863488,"D30SM",99.17
"373",1673015282220869632,"OA14Y",61.54
"374",1673015282220873216,"OOOTO",69.34
"375",1673015282252198912,"D30SM",103.9
"376",1673015282254329856,"P29R0",29.93
"377",1673015282254496256,"DFSR3",30.14
"378",1673015282255569408,"D30SM",103.93
"379",1673015282255672064,"P29R0",75.01
"380",1673015282266123520,"OOOTO",71.93
"381",1673015282291863552,"P29R0",75.02
"382",1673015282291939584,"P29R0",30.01
"383",1.673015282301e+18,"D30SM",99.2
"384",1673015282301089536,"NQGAH",76.78
"385",1673015282301091584,"OA14Y",63.88
"386",1673015282301158912,"D30SM",99.17
"387",1673015282305713152,"D30SM",103.83
"388",1673015282306134016,"NQGAH",76.85
"389",1673015282306156544,"OA14Y",63.9
"390",1673015282306173184,"D30SM",103.93
"391",1673015282307942144,"N06BZ",108.12
"392",1673015282309681152,"QGY3D",36.51
"393",1673015282309942272,"JU3VN",27.35
"394",1673015282310231552,"JU3VN",117.8
"395",1673015282311924224,"QGY3D",52.13
"396",1673015282312362496,"JU3VN",117.12
"397",1673015282312459264,"P29R0",29.91
"398",1673015282312512256,"XKOBH",99.97
"399",1673015282314791424,"3PM7N",61.58
"400",1673015282314847744,"3PM7N",61.29
"401",1673015282315353856,"N06BZ",108.42
"402",1673015282316452352,"3PM7N",61.59
"403",1673015282316502784,"N06BZ",108.44
"404",1673015282328022784,"OOOTO",71.95
"405",1673015282350676992,"P29R0",75.01
"406",1673015282353621760,"P29R0",75.02
"407",1673015282354050048,"D30SM",99.2
"408",1673015282362511872,"QGY3D",52.2
"409",1673015282362594816,"JU3VN",117.24
"410",1673015282362800384,"P29R0",74.8
"411",1673015282388775680,"OA14Y",61.51
"412",1673015282388805120,"OOOTO",69.32
"413",1673015282391834112,"P29R0",29.92
"414",1673015282394536448,"DFSR3",30.15
"415",1673015282413788160,"P29R0",29.93
"416",1673015282414714368,"Z5HII",49.39
"417",1673015282414739200,"Z5HII",246.79
"418",1673015282415620608,"3PM7N",61.31
"419",1673015282423101184,"JU3VN",27.36
"420",1673015282423182080,"QGY3D",36.54
"421",1673015282423193344,"JU3VN",117.24
"422",1673015282423859712,"XKOBH",99.98
"423",1673015282438927360,"OA14Y",61.54
"424",1673015282439140352,"OOOTO",69.34
"425",1673015282453952256,"D30SM",99.17
"426",1673015282464764160,"JU3VN",117.83
"427",1673015282467086848,"DG1L5",9.8
"428",1673015282505551616,"D30SM",99.2
"429",1673015282514276352,"Z5HII",49.38
"430",1673015282514554368,"Z5HII",246.75
"431",1673015282519089664,"JU3VN",117.8
"432",1673015282528019968,"OA14Y",61.51
"433",1673015282551187968,"OOOTO",69.32
"434",1673015282566971392,"DG1L5",9.82
"435",1673015282602734592,"DG1L5",9.79
"436",1673015282607521280,"N06BZ",108.14
"437",1673015282629117184,"JU3VN",27.36
"438",1673015282634810880,"Z5HII",49.39
"439",1673015282634833408,"Z5HII",246.79
"440",1673015282654684160,"N06BZ",108.12
"441",1673015282655386880,"DG1L5",9.8
"442",1673015282672153600,"JU3VN",117.83
"443",1673015282672198400,"JU3VN",27.49
"444",1673015282672275456,"QGY3D",36.68
"445",1673015282730816512,"JU3VN",117.8
"446",1673015282743191552,"OOOTO",71.93
"447",1673015282747210752,"DG1L5",10.2
"448",1673015282750419968,"JU3VN",27.49
"449",1673015282753895680,"N06BZ",108.14
"450",1673015282781547008,"JU3VN",117.24
"451",1673015282781624064,"N06BZ",108.12
"452",1673015282804562176,"P29R0",75.01
"453",1673015282808908544,"JU3VN",117.8
"454",1673015282808911616,"QGY3D",52.4
"455",1673015282815156480,"Z5HII",49.38
"456",1673015282815524352,"Z5HII",246.75
"457",1673015282815917056,"DFSR3",30.14
"458",1673015282832469760,"D30SM",103.9
"459",1673015282832587264,"D30SM",103.93
"460",1673015282837286912,"QGY3D",36.53
"461",1673015282837559040,"JU3VN",27.36
"462",1673015282837649920,"P29R0",74.8
"463",1673015282837766656,"XKOBH",99.97
"464",1673015282838559744,"3PM7N",61.29
"465",1673015282889662976,"P29R0",29.93
"466",1673015282895443456,"QGY3D",52.2
"467",1673015282895452160,"Z5HII",49.39
"468",1673015282895749632,"Z5HII",246.79
"469",1673015282896101120,"DFSR3",30.15
"470",1673015282896153600,"3PM7N",61.31
"471",1673015282896526080,"XKOBH",99.98
"472",1673015282906969600,"DG1L5",9.79
"473",1673015282909186816,"P29R0",75.02
"474",1673015282931478528,"DG1L5",10.21
"475",1673015282939256320,"KIVN0",105.57
"476",1673015282939289344,"1NTNT",14.45
"477",1673015282939299840,"1NTNT",14.45
"478",1673015282939310336,"1NTNT",14.45
"479",1673015282942502144,"DG1L5",10.22
"480",1673015282954616832,"NQGAH",76.83
"481",1673015282954626560,"OA14Y",63.88
"482",1673015282954648320,"Z5HII",246.75
"483",1673015282954677760,"D30SM",103.9
"484",1673015282954719744,"Z5HII",49.38
"485",1673015282959201792,"NQGAH",76.85
"486",1673015282959204864,"OA14Y",63.9
"487",1673015282959214592,"D30SM",103.93
"488",1673015282959476736,"Z5HII",49.39
"489",1673015282959485952,"Z5HII",246.79
"490",1673015282975043072,"DG1L5",9.79
"491",1673015282986877440,"DG1L5",9.78
"492",1673015282989067776,"OOOTO",69.34
"493",1673015282997145088,"OOOTO",69.32
"494",1673015283006543360,"MSBQE",45.73
"495",1673015283006563584,"SXUH7",61.46
"496",1673015283006583040,"R6NO3",54.24
"497",1673015283016112128,"1NTNT",14.46
"498",1673015283016310016,"1NTNT",14.46
"499",1673015283016413184,"1NTNT",14.46
"500",1673015283016489472,"KIVN0",105.61
"501",1673015283030138880,"P29R0",30
"502",1673015283036966144,"DG1L5",9.78
"503",1673015283063302144,"NQGAH",76.9
"504",1673015283063306752,"OOOTO",71.95
"505",1673015283063315200,"OA14Y",63.93
"506",1673015283063326464,"D30SM",104
"507",1673015283092069120,"OOOTO",71.98
"508",1673015283093352960,"D30SM",99.17
"509",1673015283134988544,"OOOTO",69.34
"510",1673015283167606784,"OA14Y",61.54
"511",1673015283183400960,"OOOTO",69.32
"512",1673015283183414016,"OA14Y",61.51
"513",1673015283184486144,"Z5HII",49.38
"514",1673015283184500736,"Z5HII",246.75
"515",1673015283211056384,"JU3VN",89.91
"516",1673015283235563008,"N06BZ",108.14
"517",1673015283236605952,"OOOTO",69.34
"518",1673015283236680704,"OA14Y",61.54
"519",1673015283236727808,"N06BZ",108.12
"520",1673015283242969344,"DG1L5",9.8
"521",1673015283261792256,"NQGAH",73.2
"522",1673015283261809664,"D30SM",99.15
"523",1673015283265316096,"HVR6B",35.81
"524",1673015283265640960,"HVR6B",35.8
"525",1673015283267318272,"OA14Y",63.95
"526",1673015283308846080,"OOOTO",69.32
"527",1673015283308854016,"OA14Y",61.51
"528",1673015283324542464,"GIJQX",65.4
"529",1673015283324553984,"1NTNT",14.45
"530",1673015283324564736,"1NTNT",14.45
"531",1673015283327563264,"OOOTO",69.29
"532",1673015283327568384,"OA14Y",61.49
"533",1673015283338908416,"RKG2T",13.8
"534",1673015283343590400,"N06BZ",108.14
"535",1673015283346929152,"DG1L5",9.8
"536",1673015283348877056,"DG1L5",10.22
"537",1673015283348898560,"OOOTO",72
"538",1673015283357408768,"DFSR3",30.14
"539",1673015283375019520,"N06BZ",108.45
"540",1673015283375032320,"XKOBH",100.29
"541",1673015283375365120,"R6NO3",54.32
"542",1673015283375371776,"MSBQE",45.78
"543",1673015283375385856,"SXUH7",61.54
"544",1673015283377131520,"1NTNT",14.46
"545",1673015283377485056,"1NTNT",14.46
"546",1673015283377570816,"GIJQX",65.42
"547",1673015283383970816,"XKOBH",100.31
"548",1673015283384005632,"N06BZ",108.46
"549",1673015283384014336,"XKOBH",99.99
"550",1673015283384019968,"3PM7N",61.61
"551",1673015283396549120,"RKG2T",13.89
"552",1673015283396732416,"N06BZ",108.15
"553",1673015283402362880,"NQGAH",76.88
"554",1673015283402388480,"D30SM",103.98
"555",1673015283408194048,"NQGAH",76.9
"556",1673015283408198144,"D30SM",104
"557",1673015283409733120,"DG1L5",10.22
"558",1673015283410262016,"N06BZ",108.14
"559",1673015283410265856,"XKOBH",99.98
"560",1673015283436276480,"3PM7N",61.59
"561",1673015283436295680,"XKOBH",100.29
"562",1673015283436328960,"N06BZ",108.45
"563",1673015283437649920,"N06BZ",108.46
"564",1673015283437675008,"3PM7N",61.61
"565",1673015283437776384,"P29R0",30.01
"566",1673015283437873920,"XKOBH",100.31
"567",1673015283453961984,"JU3VN",90.32
"568",1673015283469861888,"XKOBH",99.99
"569",1673015283473399296,"XKOBH",99.98
"570",1673015283475386880,"QGY3D",52.39
"571",1673015283476897280,"P29R0",74.82
"572",1673015283477793024,"DFSR3",30.15
"573",1673015283492079616,"OOOTO",69.27
"574",1673015283495137536,"XKOBH",100.29
"575",1673015283495175936,"N06BZ",108.45
"576",1673015283495240192,"P29R0",75.01
"577",1.673015283497e+18,"P29R0",74.81
"578",1673015283506942720,"OA14Y",61.46
"579",1673015283516856320,"X0W9B",130.1
"580",1673015283517028864,"P29R0",75.02
"581",1673015283517156352,"Z5HII",49.39
"582",1673015283517210880,"QGY3D",52.4
"583",1673015283517505280,"Z5HII",246.79
"584",1673015283527203584,"DG1L5",9.8
"585",1673015283532555264,"OA14Y",63.98
"586",1673015283557136384,"P29R0",74.82
"587",1673015283557310976,"QGY3D",52.2
"588",1673015283558103552,"OA14Y",61.49
"589",1673015283558160384,"3PM7N",61.32
"590",1673015283558371328,"OOOTO",69.29
"591",1673015283565813248,"3PM7N",61.31
"592",1673015283570944256,"DG1L5",10.21
"593",1673015283577085184,"RKG2T",14
"594",1673015283587073536,"OA14Y",61.46
"595",1673015283587089408,"OOOTO",69.24
"596",1673015283591584768,"OOOTO",72.02
"597",1673015283597059840,"X0W9B",130.07
"598",1673015283616384256,"3PM7N",61.32
"599",1673015283627651072,"RKG2T",13.99
"600",1673015283632264704,"3PM7N",61.31
"601",1673015283637286656,"RKG2T",14
"602",1673015283638434560,"OOOTO",69.27
"603",1673015283657230848,"X0W9B",130.1
"604",1673015283657789952,"D30SM",99.17
"605",1673015283658341376,"GIJQX",66.26
"606",1673015283678210816,"OSFG6",36.2
"607",1673015283693368832,"3PM7N",61.32
"608",1.673015283731e+18,"1NTNT",14.45
"609",1673015283731030016,"1NTNT",14.45
"610",1673015283757568512,"X0W9B",130.07
"611",1673015283758172672,"D30SM",99.15
"612",1673015283758267392,"OSFG6",36.2
"613",1673015283758758656,"3PM7N",61.31
"614",1673015283758761984,"GIJQX",66.25
"615",1673015283797680128,"1NTNT",14.46
"616",1673015283797792768,"1NTNT",14.46
"617",1673015283808611328,"1NTNT",14.45
"618",1673015283808622592,"1NTNT",14.45
"619",1673015283823378944,"OA14Y",61.44
"620",1673015283823410688,"OOOTO",69.24
"621",1673015283828454144,"Y3SCQ",35.98
"622",1673015283828462336,"Y3SCQ",179.84
"623",1673015283831552256,"DG1L5",10.22
"624",1673015283839261440,"3PM7N",61.32
"625",1673015283859286016,"3PM7N",61.31
"626",1673015283880176128,"Y3SCQ",179.88
"627",1673015283880194560,"Y3SCQ",35.98
"628",1673015283880278784,"TBHHD",130.33
"629",1673015283887464448,"OOOTO",72
"630",1673015283889871616,"OOOTO",72.02
"631",1673015283892412416,"OOOTO",69.22
"632",1673015283909155840,"OA14Y",61.46
"633",1673015283942128384,"OA14Y",61.44
"634",1673015283942161408,"OOOTO",72.05
"635",1673015283942178560,"OA14Y",64
"636",1673015283942639616,"OOOTO",69.24
